categoría,nombre del plato,descripción,precio,URL de imagen
Promociones,Promo Martes - 1/2 Pollo a la Brasa,1/2 Pollo a la brasa + papas fritas + ensalada + cremas + 1 gaseosa personal (Inca Kola / Coca Cola).,S/. 35.00,
Promociones,Jueves de Patas - 1/4 de Pollo,Todos los jueves: 1/4 de pollo a la brasa + papas fritas + ensalada fresca + cremas.,S/. 12.00,
Promociones,Miércoles de Mostrito,¡Todos los miércoles por la compra de un mostrito El Pollón te pone la gaseosa Pepsi 300ml! (Mostrito con arroz chaufa + papas + cremas).,S/. 13.00,
Pollos a la Brasa,1/8 de Pollo a la Brasa,+ papas + ensalada + cremas,S/. 11.00,
Pollos a la Brasa,1/4 de Pollo a la Brasa,+ papas + ensalada + cremas,S/. 17.00,
Pollos a la Brasa,Mostrito,+ Arroz chaufa + papas + cremas,S/. 13.00,
Pollos a la Brasa,Mostro,+ Arroz chaufa + papas + cremas,S/. 19.00,
Pollos a la Brasa,1/2 Pollo a la Brasa,+ papas + ensalada + cremas,S/. 32.00,
Pollos a la Brasa,1 Pollo a la Brasa entero,+ papas + ensalada + cremas,S/. 58.00,
Pollos a la Brasa,1 Pollo a la Brasa + 1/4 solo,+ papas + ensalada + cremas,S/. 63.00,
Pollos a la Brasa,1 Pollo a la Brasa + Gaseosa 1.5 Lt.,+ papas + ensalada + cremas,S/. 63.00,
Pollos a la Brasa,MEGA MANCHESTER,1 Pollo + 1/4 pollo solo + gaseosas 1.5 Lt. + papas + ensalada + cremas,S/. 68.00,
Pollos a la Brasa,DON MANCHESTER,1 Pollo + 1/2 pollo solo + gaseosa 1.5 Lt. + papas + ensalada + cremas.,S/. 78.00,
Combos Parrilleros,COMBO FILETE,1 Filete de pollo + 1 Anticucho + 1 chorizo + papas + ensalada + cremas,S/. 27.00,
Combos Parrilleros,COMBO CHULETA,1 chuleta + molleja + 1 anticucho + papas + ensalada + cremas,S/. 29.00,
Combos Parrilleros,COMBO CHURRASCO,1 Churrasco + 1 brocheta + 1 chorizo + papas + ensalada + cremas,S/. 31.00,
Combos Parrilleros,COMBO LOMO,1 Lomo + 1 brocheta + 1 chorizo + papas + ensalada + cremas,S/. 35.00,
Carnes a la Parrilla,Chuleta,+ papas + ensalada + cremas,S/. 17.00,
Carnes a la Parrilla,Churrasco,+ papas + ensalada + cremas,S/. 19.00,
